hhid,sampletype,tacoma_addon,traveldate,dayofweek,hhnumtrips,vehicle_count,hhsize,numadults,numchildren,numworkers,lifecycle,hh_income_detailed,hh_income_followup,hh_income_broad,sample_segname,h_cnty,h_city,h_zip,address_use_flag,panel_moveinspect,h_segname,h_county_name,h_district_name,h_rgc_name,h_school_district_name,h_uv_name,h_uv_group,h_tract,h_bg,h_puma10,res_months,res_dur,rent_own,res_type,res_factors_hhchange,res_factors_afford,res_factors_school,res_factors_walk,res_factors_space,res_factors_closefam,res_factors_transit,res_factors_hwy,res_factors_30min,prev_rent_own,prev_res_type,prev_home_wa,prev_home_loc_cnty,prev_home_loc_city,prev_home_loc_zip,prev_home_loc_st,prev_home_loc_x,hh_info_dur,incentive_type,incentive_amt,user_ismobiledevice,foreign_language,expwt_h1415
15100285,1,0,5/5/2015,Tuesday,6,2,2,2,0,2,6,2,,1,REG_HI,4,EVERETT,98203,2015reported,,REG_MI,Snohomish,Everett-Lynwood-Edmonds, ,Mukilteo School District,,,53061041303,530610413031,11703,1,2,2,5,3,5,1,4,4,4,4,4,5,2,5,1,4,BOTHELL,98012,WA,,7,1,10,FALSE,0,578.9802366
15100286,1,0,5/5/2015,Tuesday,6,2,2,2,0,0,8,98,98,98,REG_MI,3,TACOMA,98406,2015reported,,REG_MI,Pierce,Tacoma, ,Tacoma Public Schools,,,53053060905,530530609053,11502,1,5,1,1,1,4,5,5,5,3,2,5,3,,,,,,,,,10,1,10,FALSE,0,383.0079095
15100287,1,0,5/5/2015,Tuesday,8,2,2,2,0,2,6,3,,2,OS_LI,3,TACOMA,98409,2015reported,,OS_LI,Pierce,Tacoma,Tacoma Mall,Tacoma Public Schools,,,53053062600,530530626001,11501,1,3,2,3,2,5,4,2,1,4,2,4,4,4,1,1,3,TACOMA,98407,WA,,13,1,10,TRUE,0,205.1437385
15100288,1,0,5/5/2015,Tuesday,25,2,5,2,3,2,1,6,,4,REG_LI,1,SEATTLE,98178,2015reported,,REG_LI,King,Renton-FedWay-Kent, ,Renton School District,,,53033026100,530330261002,11610,1,5,1,1,5,5,4,2,2,5,4,2,4,,,,,,,,,11,2,20,TRUE,0,1778.696838
15100289,1,0,5/5/2015,Tuesday,18,2,3,2,1,2,1,5,,3,OS_MI,4,STANWOOD,98292,2015reported,,OS_MI,Snohomish,Suburban Snohomish, ,Stanwood-Camano School District,,,53061053301,530610533011,11706,1,3,2,1,3,5,4,4,3,4,3,3,4,1,1,1,5,SEDRO-WOOLLEY,98284,WA,,11,2,10,TRUE,0,5015.626787
15100290,1,0,5/5/2015,Tuesday,3,1,1,1,0,1,3,5,,3,OS_MI,1,SEATTLE,98107,2015reported,,OS_MI,King,North Seattle-Shoreline, ,Seattle School District,Ballard,6,53033004700,530330047003,11601,1,2,2,5,2,5,2,5,2,3,5,2,5,4,7,2,9,,,,1,4,2,10,FALSE,0,589.0033477
15100291,1,0,5/5/2015,Tuesday,10,2,4,2,2,1,2,5,,3,REG_HI,4,STANWOOD,98292,2015reported,,REG_HI,Snohomish,Suburban Snohomish, ,Stanwood-Camano School District,,,53061053202,530610532021,11706,1,2,2,2,2,5,4,3,4,3,3,3,3,1,2,1,4,ARLINGTON,98223,WA,,10,1,20,FALSE,0,3208.215341
15100292,1,0,5/5/2015,Tuesday,3,0,1,1,0,0,5,1,,1,OS_MI,1,SEATTLE,98136,2015reported,,OS_MI,King,West-South Seattle, ,Seattle School District,Morgan Junction,16,53033010600,530330106003,11605,1,6,2,5,3,5,1,5,5,3,5,3,1,,,,,,,,,15,2,20,FALSE,0,546.1861077
15100293,1,0,5/5/2015,Tuesday,8,2,3,3,0,3,6,98,98,98,REG_HI,1,SEATTLE,98103,2015sampleprovider,,REG_HI,King,North Seattle-Shoreline, ,Seattle School District,,,53033004600,530330046002,11601,2,7,2,1,3,5,4,5,5,4,2,4,5,,,,,,,,,11,1,10,FALSE,0,379.5402518
15100294,1,0,5/5/2015,Tuesday,17,3,2,2,0,2,7,98,98,98,REG_MI,1,SEATTLE,98115,2015reported,,REG_MI,King,North Seattle-Shoreline, ,Seattle School District,,,53033001900,530330019002,11602,1,7,1,1,1,5,1,5,1,4,5,5,5,,,,,,,,,20,1,10,FALSE,0,754.003697
